it,ft,bt,transmission,ownerNo,oem,model,modelYear,price,Insurance Validity,Kms Driven,Mileage,Engine,Seats_1,Color,Gear Box,Drive Type,City
0,Petrol,Hatchback,Manual,1,Hyundai,Hyundai i10,2011,₹ 2.95 Lakh,Comprehensive,"91,143 Kms",20.36 kmpl,1197 CC,5,Red,5 Speed,FWD,Chennai
0,Diesel,SUV,Manual,1,Mahindra,Mahindra TUV 300,2016,₹ 7.90 Lakh,Comprehensive,"36,000 Kms",18.49 kmpl,1493 CC,7,Red,5 Speed,RWD,Chennai
0,Petrol,Sedan,Manual,1,Honda,Honda City,2015,₹ 5.30 Lakh,Third Party insurance,"1,08,818 Kms",17.4 kmpl,1497 CC,5,Red,5 Speed ,FWD,Chennai
0,Diesel,Hatchback,Manual,2,Volkswagen,Volkswagen Polo,2011,₹ 3.15 Lakh,Third Party insurance,"1,20,000 Kms",22.07 kmpl,1199 CC,5,Others,5 Speed,FWD,Chennai
0,Diesel,Sedan,Automatic,2,Mercedes-Benz,Mercedes-Benz C-Class,2008,₹ 8.50 Lakh,Comprehensive,"1,07,000 Kms",14.84 kmpl,2143 CC,5,Black,7 Speed,RWD,Chennai
0,Petrol,Sedan,Manual,1,Honda,Honda City,2014,₹ 5.70 Lakh,Comprehensive,"90,530 Kms",17 kmpl,1497 CC,5,TITANIUM GREY,5 Speed,FWD,Chennai
0,Petrol,Hatchback,Manual,1,Hyundai,Hyundai i20,2016,₹ 5.76 Lakh,Comprehensive,"77,957 Kms",18.6 kmpl,1197 CC,5,Red,5 Speed,FWD,Chennai
0,Petrol,SUV,Manual,2,Hyundai,Hyundai Creta,2017,₹ 8.42 Lakh,Third Party insurance,"81,394 Kms",13 kmpl,1591 CC,5,White,6 Speed,FWD,Chennai
0,Petrol,Sedan,Manual,1,Maruti,Maruti Ciaz,2017,₹ 6.75 Lakh,Third Party insurance,"64,341 Kms",20.73 kmpl,1373 CC,5,Blue,5 Speed,FWD,Chennai
0,Petrol,Hatchback,Manual,1,Hyundai,Hyundai Grand i10,2017,₹ 5.18 Lakh,Comprehensive,"33,407 Kms",18.9 kmpl,1197 CC,5,Silver,5 Speed,FWD,Chennai
0,Petrol,Hatchback,Manual,1,Datsun,Datsun RediGO,2021,₹ 3.97 Lakh,Comprehensive,"14,811 Kms",20.71 kmpl,799 CC,5,Blue,5-Speed,FWD,Chennai
0,Petrol,Sedan,Manual,1,Skoda,Skoda Rapid,2017,₹ 7.75 Lakh,Comprehensive,"37,000 Kms",14.3 kmpl,1598 CC,5,Grey,5 Speed,FWD,Chennai
0,Diesel,SUV,Manual,2,Jeep,Jeep Compass,2017,₹ 11.66 Lakh,Third Party,"49,326 Kms",17.1 kmpl,1956 CC,5,Red,6 Speed,4X2,Chennai
0,Petrol,Sedan,Manual,3,Honda,Honda New Accord,2009,₹ 4.50 Lakh,Third Party insurance,"1,20,000 Kms",9.8 kmpl,2354 CC,5,Others,5 Speed,4WD,Chennai
0,Petrol,Hatchback,Automatic,1,Tata,Tata Tiago NRG,2022,₹ 7.32 Lakh,Zero Dep,"4,939 Kms",20.09 kmpl,1199 CC,5,Red,5 Speed,FWD,Chennai
0,Petrol,SUV,Automatic,1,Ford,Ford Ecosport,2014,₹ 5.77 Lakh,Comprehensive,"82,620 Kms",16.5 kmpl,1499 CC,5,White,6 Speed,FWD,Chennai
0,Petrol,Sedan,Manual,2,Skoda,Skoda Superb,2009,₹ 6 Lakh,Third Party insurance,"60,000 Kms",13.14 kmpl,1798 CC,5,Red,Six Speed Manual,Front Wheel Drive,Chennai
0,Diesel,Hatchback,Manual,1,Volkswagen,Volkswagen Polo,2015,₹ 5.10 Lakh,Third Party insurance,"86,857 Kms",20.14 kmpl,1498 CC,5,Blue,5 Speed,FWD,Chennai
0,Diesel,Sedan,Automatic,3,Mercedes-Benz,Mercedes-Benz C-Class,2010,₹ 9 Lakh,Third Party insurance,"70,000 Kms",14.84 kmpl,2143 CC,5,Others,7 Speed,RWD,Chennai
0,Diesel,SUV,Automatic,2,Audi,Audi Q7,2012,₹ 15 Lakh,Third Party insurance,"1,20,000 Kms",11.33 kmpl,4134 CC,7,Gray,8 Speed,AWD,Chennai
0,Petrol,Hatchback,Automatic,1,Maruti,Maruti Wagon R,2022,₹ 6.25 Lakh,Third Party,"14,483 Kms",25.19 kmpl,998 CC,5,Grey,,,Chennai
0,Diesel,SUV,Manual,1,Hyundai,Hyundai Creta,2022,₹ 12.75 Lakh,Comprehensive,"19,000 Kms",,1493 CC,5,Black,6-speed,,Chennai
0,Petrol,Hatchback,Manual,1,Ford,Ford Figo,2016,₹ 3.95 Lakh,Comprehensive,"36,202 Kms",18.16 kmpl,1196 CC,5,Golden,5 Speed,FWD,Chennai
0,Petrol,MUV,Manual,1,Datsun,Datsun GO Plus,2017,₹ 3.20 Lakh,Third Party insurance,"30,000 Kms",19.44 kmpl,1198 CC,7,Others,5 Speed,FWD,Chennai
0,Diesel,Hatchback,Manual,1,Ford,Ford Figo,2017,₹ 4.50 Lakh,Third Party insurance,"70,000 Kms",24.29 kmpl,1498 CC,5,Black,5 Speed,FWD,Chennai
0,Petrol,SUV,Manual,1,Hyundai,Hyundai Venue,2022,₹ 10.85 Lakh,Third Party insurance,"20,000 Kms",,998 CC,5,Others,iMT,,Chennai
0,Petrol,Hatchback,Manual,1,Datsun,Datsun RediGO,2021,₹ 4 Lakh,Comprehensive,"24,077 Kms",20.71 kmpl,799 CC,5,Red,5-Speed,FWD,Chennai
0,Diesel,Sedan,Manual,1,Maruti,Maruti Swift Dzire,2012,₹ 4.85 Lakh,Comprehensive,"81,985 Kms",19.3 kmpl,1248 CC,5,Black,5 Speed,2 WD,Chennai
0,Petrol,MUV,Automatic,2,Maruti,Maruti Ertiga,2020,₹ 9.85 Lakh,Third Party insurance,"30,000 Kms",17.99 kmpl,1462 CC,7,Others,4 Speed,FWD,Chennai
0,Petrol,Sedan,Manual,1,Honda,Honda City,2017,₹ 6.81 Lakh,Third Party insurance,"91,841 Kms",17.8 kmpl,1497 CC,5,Red,5 Speed,FWD,Chennai
0,Petrol,SUV,Automatic,3,Ford,Ford Ecosport,2016,₹ 6.21 Lakh,Third Party insurance,"64,961 Kms",15.63 kmpl,1499 CC,5,Brown,6 Speed,FWD,Chennai
0,Petrol,Hatchback,Automatic,1,Maruti,Maruti Alto K10,2018,₹ 4.10 Lakh,Comprehensive,"20,950 Kms",23.95 kmpl,998 CC,5,Red,5 Speed,FWD,Chennai
0,Petrol,Hatchback,Manual,2,Hyundai,Hyundai i20,2016,₹ 5.05 Lakh,Comprehensive,"94,348 Kms",18.6 kmpl,1197 CC,5,Red,5 Speed,FWD,Chennai
0,Diesel,SUV,Manual,1,Hyundai,Hyundai Venue,2022,₹ 12.90 Lakh,Comprehensive,"32,000 Kms",,1493 CC,5,White,6-Speed,,Chennai
0,Petrol,Hatchback,Manual,1,Hyundai,Hyundai i20,2019,₹ 7.08 Lakh,Third Party insurance,"51,744 Kms",18.6 kmpl,1197 CC,5,Red,5 Speed,FWD,Chennai
0,Diesel,SUV,Automatic,2,Mahindra,Mahindra XUV500,2020,₹ 17.34 Lakh,Comprehensive,"81,152 Kms",15.1 kmpl,2179 CC,7,Silver,6 Speed,FWD,Chennai
0,Petrol,Sedan,Manual,1,Honda,Honda Amaze,2018,₹ 6.50 Lakh,Comprehensive,"19,516 Kms",18.6 kmpl,1199 CC,5,Red,5 Speed,FWD,Chennai
0,Petrol,Hatchback,Manual,1,Maruti,Maruti Swift,2021,₹ 7.60 Lakh,Comprehensive,"29,093 Kms",18.6 kmpl,1197 CC,5,White,5 Speed,FWD,Chennai
0,Diesel,Sedan,Automatic,1,Honda,Honda Amaze,2018,₹ 7.85 Lakh,Third Party insurance,"54,408 Kms",23.8 kmpl,1498 CC,5,Silver,5 Speed,FWD,Chennai
0,Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno,2019,₹ 7.45 Lakh,Comprehensive,"16,000 Kms",21.01 kmpl,1197 CC,5,Blue,5 Speed,FWD,Chennai
0,Diesel,SUV,Automatic,1,Ford,Ford Endeavour,2018,₹ 20 Lakh,Third Party insurance,"1,00,000 Kms",12.62 kmpl,2198 CC,7,Others,6 Speed,FWD,Chennai
0,Petrol,Hatchback,Manual,1,Datsun,Datsun RediGO,2016,₹ 2.70 Lakh,Comprehensive,"56,876 Kms",22.7 kmpl,799 CC,5,Grey,5-Speed,2WD,Chennai
0,Diesel,Hatchback,Manual,1,Volkswagen,Volkswagen Polo,2014,₹ 4.50 Lakh,Third Party insurance,"50,000 Kms",22.07 kmpl,1199 CC,5,Blue,5 Speed,FWD,Chennai
0,Petrol,Sedan,Manual,2,Honda,Honda Amaze,2015,₹ 4.20 Lakh,Comprehensive,"84,505 Kms",18.6 kmpl,1199 CC,5,TITANIUM GREY,5 Speed,FWD,Chennai
0,Diesel,MUV,Automatic,1,Toyota,Toyota Innova Crysta,2021,₹ 27.90 Lakh,Comprehensive,"34,000 Kms",12 kmpl,2393 CC,7,Silver,6 Speed,RWD,Chennai
0,Petrol,Hatchback,Manual,1,Maruti,Maruti Wagon R,2020,₹ 5.50 Lakh,Comprehensive,"22,305 Kms",21.79 kmpl,998 CC,5,Brown,5 Speed,FWD,Chennai
0,Petrol,Hatchback,Manual,1,Renault,Renault KWID,2019,₹ 4.21 Lakh,Comprehensive,"33,573 Kms",23.01 kmpl,999 CC,5,Silver,5 Speed,FWD,Chennai
0,Petrol,Hatchback,Manual,1,Datsun,Datsun RediGO,2019,₹ 3.03 Lakh,Third Party,"33,615 Kms",22.7 kmpl,799 CC,5,Silver,5-Speed,2WD,Chennai
0,Petrol,Hatchback,Automatic,2,Honda,Honda Jazz,2018,₹ 7.80 Lakh,Third Party insurance,"30,000 Kms",18.2 kmpl,1199 CC,5,Others,5 Speed,FWD,Chennai
0,Petrol,Sedan,Manual,1,Tata,Tata Tigor,2020,₹ 6.43 Lakh,Comprehensive,"34,935 Kms",20.3 kmpl,1199 CC,5,White,5 Speed,FWD,Chennai
0,Petrol,Hatchback,Automatic,2,Maruti,Maruti Celerio,2018,₹ 4.74 Lakh,Comprehensive,"66,511 Kms",23.1 kmpl,998 CC,5,Orange,5 Speed,FWD,Chennai
0,Petrol,Sedan,Automatic,1,Toyota,Toyota Camry,2021,₹ 42 Lakh,Comprehensive,"24,000 Kms",19.16 kmpl,2494 CC,5,White,6 Speed,FWD,Chennai
0,Petrol,Sedan,Manual,1,Maruti,Maruti Swift Dzire,2017,₹ 6.44 Lakh,Comprehensive,"68,979 Kms",21.21 kmpl,1197 CC,5,Blue,5 Speed,FWD,Chennai
0,Petrol,MUV,Manual,1,Maruti,Maruti Ertiga,2021,₹ 12 Lakh,Third Party insurance,"50,000 Kms",19.01 kmpl,1462 CC,7,Gray,5 Speed,FWD,Chennai
0,Petrol,Hatchback,Automatic,2,Maruti,Maruti Wagon R,2019,₹ 5.19 Lakh,Comprehensive,"45,161 Kms",20.51 kmpl,998 CC,5,Orange,5 Speed,FWD,Chennai
0,Diesel,SUV,Manual,1,Ford,Ford Ecosport,2018,₹ 8.11 Lakh,Comprehensive,"42,917 Kms",23 kmpl,1498 CC,5,Blue,5 Speed,FWD,Chennai
0,Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno,2019,₹ 7.25 Lakh,Third Party insurance,"20,000 Kms",21.01 kmpl,1197 CC,5,Others,5 Speed,FWD,Chennai
0,Petrol,Hatchback,Automatic,1,Maruti,Maruti Baleno,2018,₹ 7.25 Lakh,Comprehensive,"32,000 Kms",19.56 kmpl,1197 CC,5,Grey,CVT,FWD,Chennai
0,Diesel,Hatchback,Manual,1,Hyundai,Hyundai i20,2019,₹ 7.50 Lakh,Third Party insurance,"40,000 Kms",22.54 kmpl,1396 CC,5,Others,6 Speed,FWD,Chennai
0,Petrol,Sedan,Manual,1,Honda,Honda City,2020,₹ 9.50 Lakh,Comprehensive,"29,911 Kms",17.4 kmpl,1497 CC,5,Lunar Silver Metallic,5 Speed,,Chennai
0,Petrol,Sedan,Automatic,1,Hyundai,Hyundai Verna,2018,₹ 9.25 Lakh,Comprehensive,"23,000 Kms",17 kmpl,1591 CC,5,Grey,6 Speed,,Chennai
0,Diesel,Sedan,Manual,2,Tata,Tata Zest,2018,₹ 5.25 Lakh,Third Party insurance,"1,00,000 Kms",22.95 kmpl,1248 CC,5,Others,5 Speed,FWD,Chennai
0,Diesel,MUV,Manual,1,Toyota,Toyota Innova Crysta,2016,₹ 18.75 Lakh,Comprehensive,"42,000 Kms",13.68 kmpl,2393 CC,7,Silver,5 Speed,RWD,Chennai
0,Diesel,Sedan,Automatic,1,Mercedes-Benz,Mercedes-Benz C-Class,2016,₹ 26.50 Lakh,Comprehensive,"58,000 Kms",19.27 kmpl,2143 CC,5,White,7 Speed,RWD,Chennai
0,Diesel,Hatchback,Manual,1,Maruti,Maruti Swift,2015,₹ 5.50 Lakh,Comprehensive,"53,764 Kms",25.2 kmpl,1248 CC,5,Grey,5 Speed,FWD,Chennai
0,Petrol,Hatchback,Manual,1,Hyundai,Hyundai Grand i10,2015,₹ 5 Lakh,Third Party insurance,"61,455 Kms",18.9 kmpl,1197 CC,5,Silver,5 Speed,FWD,Chennai
0,Petrol,SUV,Automatic,2,Jeep,Jeep Compass,2018,₹ 12.09 Lakh,Zero Dep,"52,732 Kms",16 kmpl,1368 CC,5,Silver,7 Speed,4X2,Chennai
0,Petrol,Hatchback,Automatic,2,Honda,Honda Jazz,2017,₹ 6.56 Lakh,Comprehensive,"61,159 Kms",19 kmpl,1199 CC,5,Red,5 Speed,FWD,Chennai
0,Petrol,Hatchback,Manual,2,Hyundai,Hyundai i20,2010,₹ 2.95 Lakh,Third Party insurance,"90,000 Kms",17 kmpl,1197 CC,5,Others,5 Speed,,Chennai
0,Petrol,Sedan,Manual,1,Honda,Honda Amaze,2015,₹ 4.31 Lakh,Comprehensive,"95,296 Kms",18 kmpl,1198 CC,5,Brown,5 Speed,FWD,Chennai
0,Petrol,SUV,Manual,1,Hyundai,Hyundai Creta,2018,₹ 8.95 Lakh,Comprehensive,"1,06,506 Kms",15.8 kmpl,1591 CC,5,Black,6 Speed,FWD,Chennai
0,Diesel,Sedan,Automatic,2,BMW,BMW 5 Series,2012,₹ 15 Lakh,Third Party insurance,"70,000 Kms",16.73 kmpl,1995 CC,5,Others,8 Speed Sport,,Chennai
0,Petrol,Hatchback,Manual,2,Hyundai,Hyundai Grand i10,2015,₹ 3.92 Lakh,Comprehensive,"1,08,551 Kms",18.9 kmpl,1197 CC,5,Red,5 Speed,FWD,Chennai
0,Diesel,Sedan,Manual,1,Honda,Honda Amaze,2014,₹ 4.70 Lakh,Comprehensive,"54,186 Kms",25.8 kmpl,1498 CC,5,Red,5 Speed,FWD,Chennai
0,Petrol,Sedan,Automatic,1,Honda,Honda Amaze,2018,₹ 7.26 Lakh,Comprehensive,"1,06,848 Kms",19 kmpl,1199 CC,5,White,CVT,FWD,Chennai
0,Petrol,Sedan,Automatic,2,Volkswagen,Volkswagen Vento,2020,₹ 10.23 Lakh,Third Party,"38,464 Kms",16.35 kmpl,999 CC,5,Brown,6 Speed,FWD,Chennai
0,Petrol,Hatchback,Manual,1,Maruti,Maruti Ignis,2017,₹ 5 Lakh,Third Party insurance,"59,841 Kms",20.89 kmpl,1197 CC,5,Grey,5 Speed,,Chennai
0,Diesel,SUV,Automatic,1,Toyota,Toyota Fortuner,2023,₹ 45.50 Lakh,Comprehensive,"3,000 Kms",,2755 CC,7,White,6 Speed with Sequential Shift,2WD,Chennai
0,Petrol,SUV,Automatic,1,Hyundai,Hyundai Creta,2020,₹ 15.90 Lakh,Third Party insurance,"19,649 Kms",,1497 CC,5,Silver,6-speed IVT,,Chennai
0,Diesel,Sedan,Automatic,1,BMW,BMW 3 Series Gran Limousine,2021,₹ 56 Lakh,Comprehensive,"3,300 Kms",19.62 kmpl,1995 CC,5,Black,8-Speed Steptronic,RWD,Chennai
0,Petrol,Sedan,Manual,3,Ford,Ford Mondeo,2003,₹ 1.40 Lakh,Third Party insurance,"60,000 Kms",9 kmpl,1999 CC,5,Others,,,Chennai
0,Petrol,SUV,Automatic,1,Hyundai,Hyundai Alcazar,2021,₹ 19 Lakh,Third Party insurance,"40,000 Kms",14.2 kmpl,1999 CC,6,Black,6-speed,,Chennai
0,Petrol,SUV,Automatic,1,Kia,Kia Seltos,2020,₹ 14.25 Lakh,Comprehensive,"27,000 Kms",,1497 CC,5,Blue,IVT,FWD,Chennai
0,Petrol,Hatchback,Automatic,1,Maruti,Maruti Alto K10,2018,₹ 4.10 Lakh,Comprehensive,"20,950 Kms",23.95 kmpl,998 CC,5,Red,5 Speed,FWD,Chennai
0,Diesel,SUV,Manual,1,Jeep,Jeep Compass,2018,₹ 12.50 Lakh,Third Party insurance,"50,000 Kms",17.1 kmpl,1956 CC,5,Others,6 Speed,4X2,Chennai
0,Petrol,Hatchback,Manual,1,Tata,Tata Nano,2014,₹ 1.25 Lakh,Third Party insurance,"39,000 Kms",25.4 kmpl,624 CC,4,Purple,4 Speed,RWD,Chennai
0,Petrol,SUV,Manual,1,Hyundai,Hyundai Creta,2017,₹ 9.03 Lakh,Comprehensive,"55,927 Kms",15.29 kmpl,1591 CC,5,White,6 Speed,FWD,Chennai
0,Petrol,Hatchback,Manual,2,Hyundai,Hyundai i20,2014,₹ 4.88 Lakh,Comprehensive,"35,325 Kms",18.6 kmpl,1197 CC,5,Red,5 Speed,FWD,Chennai
0,Petrol,Hatchback,Manual,2,Maruti,Maruti Baleno,2020,₹ 6.60 Lakh,Third Party insurance,"20,000 Kms",21.01 kmpl,1197 CC,5,Red,5 Speed,FWD,Chennai
0,Petrol,Hatchback,Manual,1,Hyundai,Hyundai i20,2017,₹ 6.04 Lakh,Third Party insurance,"41,248 Kms",18.6 kmpl,1197 CC,5,Red,5 Speed,FWD,Chennai
0,Petrol,Hatchback,Manual,1,Tata,Tata Tiago,2016,₹ 4.17 Lakh,Third Party,"70,076 Kms",23.84 kmpl,1199 CC,5,Brown,5 Speed,FWD,Chennai
0,Petrol,SUV,Manual,1,Mahindra,Mahindra XUV300,2016,₹ 4.05 Lakh,Comprehensive,"1,28,398 Kms",16.82 kmpl,1197 CC,5,SILKY SILVER,6 Speed,,Chennai
0,Petrol,Hatchback,Automatic,3,Maruti,Maruti Wagon R,2017,₹ 4.44 Lakh,Comprehensive,"20,973 Kms",20.51 kmpl,998 CC,5,White,5 Speed,FWD,Chennai
0,Petrol,Hatchback,Manual,2,Maruti,Maruti Swift,2007,₹ 2.20 Lakh,Third Party insurance,"90,000 Kms",16.1 kmpl,1298 CC,5,Others,5 Speed,,Chennai
0,Petrol,Sedan,Manual,1,Hyundai,Hyundai Aura,2020,₹ 6.15 Lakh,Comprehensive,"98,807 Kms",20.5 kmpl,1197 CC,5,White,5-Speed,,Chennai
0,Petrol,Sedan,Manual,2,Honda,Honda Amaze,2015,₹ 3.96 Lakh,Comprehensive,"1,02,249 Kms",18 kmpl,1198 CC,5,Red,5 Speed,FWD,Chennai
0,Petrol,Hatchback,Automatic,1,Hyundai,Hyundai Grand i10,2018,₹ 6.50 Lakh,Comprehensive,"18,837 Kms",18.9 kmpl,1197 CC,5,Red,4 Speed,FWD,Chennai
0,Diesel,SUV,Manual,1,Jeep,Jeep Compass,2018,₹ 14 Lakh,Comprehensive,"50,000 Kms",17.1 kmpl,1956 CC,5,Black,6 Speed,4X2,Chennai
0,Petrol,Hatchback,Manual,1,Hyundai,Hyundai EON,2012,₹ 2.10 Lakh,Third Party insurance,"1,20,000 Kms",21.1 kmpl,814 CC,5,Others,5 Speed,FWD,Chennai
0,Diesel,MUV,Automatic,1,Toyota,Toyota Innova Crysta,2021,₹ 24.75 Lakh,Comprehensive,"19,000 Kms",12 kmpl,2393 CC,7,Silver,6 Speed,RWD,Chennai
0,Petrol,Hatchback,Manual,1,Maruti,Maruti Alto 800,2020,₹ 4 Lakh,Third Party insurance,"10,000 Kms",22.05 kmpl,796 CC,5,Others,5 Speed,,Chennai
0,Petrol,Hatchback,Automatic,1,Maruti,Maruti Celerio,2015,₹ 3.50 Lakh,Comprehensive,"1,28,876 Kms",21.63 kmpl,998 CC,5,Red,5 Speed,FWD,Chennai
0,Petrol,Hatchback,Manual,0,Maruti,Maruti Wagon R,2016,₹ 4.30 Lakh,Third Party insurance,"37,942 Kms",20.51 kmpl,998 CC,5,Red,5 Speed,FWD,Chennai
0,Petrol,Hatchback,Manual,1,Hyundai,Hyundai Grand i10,2018,₹ 5.15 Lakh,Comprehensive,"37,300 Kms",18.9 kmpl,1197 CC,5,Red,5 Speed,FWD,Chennai
0,Diesel,SUV,Automatic,2,Mercedes-Benz,Mercedes-Benz GLC,2017,₹ 37.50 Lakh,Comprehensive,"30,000 Kms",17.9 kmpl,2143 CC,5,Blue,9 Speed,AWD,Chennai
0,Petrol,Hatchback,Manual,1,Maruti,Maruti Zen,2002,₹ 1.20 Lakh,Third Party insurance,"60,000 Kms",17.3 kmpl,993 CC,5,Others,5 Speed,,Chennai
0,Diesel,Hatchback,Manual,1,Hyundai,Hyundai i20,2014,₹ 4.92 Lakh,Comprehensive,"82,784 Kms",22.54 kmpl,1396 CC,5,Red,6 Speed,FWD,Chennai
0,Petrol,Sedan,Manual,1,Maruti,Maruti Swift Dzire,2021,₹ 7.31 Lakh,Third Party,"63,274 Kms",22.41 kmpl,1197 CC,5,Blue,5 Speed,,Chennai
0,Petrol,Hatchback,Automatic,1,Maruti,Maruti Alto K10,2015,₹ 3.45 Lakh,Comprehensive,"87,521 Kms",23.95 kmpl,998 CC,5,Silver,5 Speed,FWD,Chennai
0,Petrol,Hatchback,Manual,2,Hyundai,Hyundai i20 Active,2017,₹ 5.23 Lakh,Third Party,"77,388 Kms",17.19 kmpl,1197 CC,5,White,5 Speed,FWD,Chennai
0,Petrol,Hatchback,Manual,1,Maruti,Maruti Wagon R,2014,₹ 3.02 Lakh,Comprehensive,"1,14,772 Kms",20.51 kmpl,998 CC,5,Silver,5 Speed,FWD,Chennai
0,Diesel,MUV,Manual,1,Toyota,Toyota Innova Crysta,2019,₹ 23 Lakh,Third Party insurance,"40,000 Kms",13.68 kmpl,2393 CC,7,Others,5 Speed,RWD,Chennai
0,Petrol,MUV,Manual,2,Datsun,Datsun GO Plus,2019,₹ 5 Lakh,Third Party insurance,"62,493 Kms",19.83 kmpl,1198 CC,7,Brown,5 Speed,FWD,Chennai
0,Petrol,Sedan,Manual,1,Honda,Honda City,2021,₹ 13.50 Lakh,Third Party insurance,"20,000 Kms",18.6 kmpl,1498 CC,5,Others,6 Speed,,Chennai
0,Petrol,Hatchback,Manual,1,Hyundai,Hyundai Santro,2019,₹ 4.72 Lakh,Comprehensive,"59,985 Kms",20.3 kmpl,1086 CC,5,Yellow,5 Speed,FWD,Chennai
0,Petrol,Sedan,Manual,2,Maruti,Maruti Ciaz,2017,₹ 5.64 Lakh,Comprehensive,"1,04,073 Kms",20.73 kmpl,1373 CC,5,Silver,5 Speed,FWD,Chennai
0,Diesel,Sedan,Manual,2,Hyundai,Hyundai Xcent,2017,₹ 4.10 Lakh,Third Party insurance,"1,00,000 Kms",25.4 kmpl,1186 CC,5,Others,5 Speed,FWD,Chennai
0,Diesel,Hatchback,Manual,1,Tata,Tata Tiago,2017,₹ 4.70 Lakh,Third Party insurance,"1,20,000 Kms",27.28 kmpl,1047 CC,5,Others,5 Speed,FWD,Chennai
0,Petrol,Hatchback,Automatic,1,Maruti,Maruti Baleno,2017,₹ 6.30 Lakh,Comprehensive,"53,819 Kms",21.4 kmpl,1197 CC,5,White,CVT,FWD,Chennai
0,Diesel,Hatchback,Manual,1,Ford,Ford Figo,2016,₹ 3.75 Lakh,Third Party insurance,"98,914 Kms",25.83 kmpl,1498 CC,5,Grey,5 Speed,FWD,Chennai
0,Diesel,Sedan,Manual,1,Volkswagen,Volkswagen Ameo,2017,₹ 5.20 Lakh,Third Party insurance,"1,10,000 Kms",21.66 kmpl,1498 CC,5,Others,5 Speed,FWD,Chennai
0,Diesel,SUV,Manual,3,Mahindra,Mahindra XUV500,2015,₹ 10 Lakh,Third Party insurance,"1,10,000 Kms",16 kmpl,2179 CC,7,White,6 Speed ,AWD,Chennai
0,Petrol,Sedan,Manual,1,Honda,Honda City,2022,₹ 15.97 Lakh,Third Party insurance,"4,135 Kms",17.4 kmpl,1497 CC,5,Golden Brown,5 Speed,FWD,Chennai
0,Petrol,Hatchback,Automatic,1,Hyundai,Hyundai i20,2019,₹ 8 Lakh,Comprehensive,"35,000 Kms",17.4 kmpl,1197 CC,5,White,5 Speed,FWD,Chennai
0,Petrol,Hatchback,Manual,1,Honda,Honda Jazz,2017,₹ 5.75 Lakh,Third Party insurance,"35,983 Kms",18.7 kmpl,1199 CC,5,Red,5 Speed,FWD,Chennai
0,Diesel,SUV,Manual,1,Jeep,Jeep Compass,2020,₹ 20.50 Lakh,Comprehensive,"45,000 Kms",16.3 kmpl,1956 CC,5,White,6 Speed,4X4,Chennai
0,Diesel,SUV,Manual,1,Tata,Tata Harrier,2019,₹ 14.22 Lakh,Zero Dep,"91,109 Kms",17 kmpl,1956 CC,5,White,6,FWD,Chennai
0,Petrol,Sedan,Manual,1,Hyundai,Hyundai Xcent,2018,₹ 5.62 Lakh,Zero Dep,"23,325 Kms",20.14 kmpl,1197 CC,5,Silver,5 Speed,FWD,Chennai
0,Petrol,Hatchback,Automatic,1,Honda,Honda Jazz,2018,₹ 6.90 Lakh,Comprehensive,"51,690 Kms",18.2 kmpl,1199 CC,5,Red,5 Speed,FWD,Chennai
0,Petrol,Hatchback,Manual,2,Hyundai,Hyundai i20 Active,2017,₹ 5.73 Lakh,Comprehensive,"69,786 Kms",17.19 kmpl,1197 CC,5,White,5 Speed,FWD,Chennai
0,Petrol,Sedan,Automatic,2,Tata,Tata Tigor,2018,₹ 5.58 Lakh,Comprehensive,"53,612 Kms",20.3 kmpl,1199 CC,5,Brown,5 Speed,FWD,Chennai
0,Petrol,Hatchback,Manual,1,Maruti,Maruti Swift,2018,₹ 5.80 Lakh,Comprehensive,"41,502 Kms",21.21 kmpl,1197 CC,5,Blue,5,FWD,Chennai
0,Petrol,SUV,Manual,2,Honda,Honda WR-V,2017,₹ 6.84 Lakh,Third Party insurance,"43,841 Kms",17.5 kmpl,1199 CC,5,Brown,5 Speed,FWD,Chennai
0,Petrol,Hatchback,Manual,2,Hyundai,Hyundai i20,2010,₹ 2.90 Lakh,Third Party insurance,"1,10,000 Kms",17 kmpl,1197 CC,5,Silver,5 Speed,,Chennai
0,Petrol,SUV,Automatic,1,Ford,Ford Ecosport,2018,₹ 7.62 Lakh,Comprehensive,"77,380 Kms",14.8 kmpl,1497 CC,5,Silver,6 Speed,FWD,Chennai
0,Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno RS,2018,₹ 6.63 Lakh,Third Party insurance,"69,269 Kms",21.1 kmpl,998 CC,5,Red,5 Speed,FWD,Chennai
0,Diesel,SUV,Manual,1,Maruti,Maruti SX4 S Cross,2018,₹ 8.70 Lakh,Third Party insurance,"53,060 Kms",23.65 kmpl,1248 CC,5,Grey,5 Speed,FWD,Chennai
0,Petrol,Sedan,Manual,2,Mitsubishi,Mitsubishi Cedia,2011,₹ 3.20 Lakh,Third Party insurance,"70,000 Kms",13.17 kmpl,1999 CC,5,Silver,5 Speed,FWD,Chennai
0,Petrol,Sedan,Manual,1,Honda,Honda City,2017,₹ 7.50 Lakh,Comprehensive,"58,071 Kms",17 kmpl,1497 CC,5,Golden Brown,5 Speed,FWD,Chennai
