it,ft,bt,transmission,ownerNo,oem,model,modelYear,price,Insurance Validity,Kms Driven,Mileage,Engine,Seats_1,Color,Gear Box,Drive Type,City
0,Diesel,SUV,Manual,2,Mahindra,Mahindra XUV500,2014,₹ 8.03 Lakh,Comprehensive,"79,012 Kms",15.1 kmpl,2179 CC,7,Silver,6 Speed,FWD,Bangalore
0,Diesel,SUV,Manual,1,Jeep,Jeep Compass,2021,₹ 25.65 Lakh,Comprehensive,"31,344 Kms",17.1 kmpl,1956 CC,5,Black,6 Speed,4x2,Bangalore
0,Petrol,Sedan,Manual,1,Hyundai,Hyundai Xcent,2018,₹ 6.74 Lakh,Third Party insurance,"50,000 Kms",20.14 kmpl,1197 CC,5,Others,5 Speed,FWD,Bangalore
0,Petrol,Hatchback,Manual,1,Maruti,Maruti Wagon R,2015,₹ 3.49 Lakh,Comprehensive,"12,434 Kms",20.51 kmpl,998 CC,5,Brown,5 Speed,FWD,Bangalore
0,Petrol,MUV,Manual,2,Maruti,Maruti Ertiga,2019,₹ 10.50 Lakh,Third Party insurance,"60,000 Kms",19.34 kmpl,1462 CC,7,Others,5 Speed,2WD,Bangalore
0,Diesel,Sedan,Automatic,1,Mercedes-Benz,Mercedes-Benz C-Class,2019,₹ 44.25 Lakh,Comprehensive,"12,000 Kms",12.6 kmpl,1950 CC,5,White,9 Speed,RWD,Bangalore
0,Petrol,Hatchback,Manual,2,Maruti,Maruti Wagon R,2015,₹ 4.06 Lakh,Comprehensive,"40,987 Kms",20.51 kmpl,998 CC,5,White,5 Speed,FWD,Bangalore
0,Petrol,Sedan,Automatic,1,BMW,BMW 5 Series,2020,₹ 49.65 Lakh,Zero Dep,"18,157 Kms",15.56 kmpl,1998 CC,5,Blue,8-Speed Steptronic,RWD,Bangalore
0,Diesel,SUV,Manual,3,Toyota,Toyota Fortuner,2011,₹ 11 Lakh,Third Party insurance,"1,20,000 Kms",11.5 kmpl,2982 CC,7,Others,5 Speed,4WD,Bangalore
0,Diesel,SUV,Automatic,2,Renault,Renault Duster,2020,₹ 11 Lakh,Third Party insurance,"40,000 Kms",19.87 kmpl,1461 CC,5,Others,6-Speed,FWD,Bangalore
0,Petrol,Hatchback,Manual,1,Hyundai,Hyundai i20,2016,₹ 5.94 Lakh,Comprehensive,"89,667 Kms",18.6 kmpl,1197 CC,5,White,5 Speed,FWD,Bangalore
0,Diesel,Hatchback,Manual,1,Hyundai,Hyundai i20,2017,₹ 7.10 Lakh,Third Party insurance,"1,20,000 Kms",22.54 kmpl,1396 CC,5,Others,6 Speed,FWD,Bangalore
0,Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno,2017,₹ 6.92 Lakh,Zero Dep,"56,997 Kms",21.4 kmpl,1197 CC,5,Blue,5 Speed,FWD,Bangalore
0,Petrol,Sedan,Manual,1,Hyundai,Hyundai Elantra,2013,₹ 6.50 Lakh,Third Party insurance,"1,20,000 Kms",16.3 kmpl,1797 CC,5,Others,6 Speed ,FWD,Bangalore
0,Diesel,Sedan,Automatic,1,Audi,Audi A6,2015,₹ 20.90 Lakh,Third Party insurance,"59,000 Kms",18.53 kmpl,1968 CC,5,White,7 Speed,FWD,Bangalore
0,Petrol,Hatchback,Manual,1,Maruti,Maruti Alto 800,2021,₹ 4.11 Lakh,Zero Dep,"18,835 Kms",22.05 kmpl,796 CC,5,Silver,5 Speed,,Bangalore
0,Diesel,SUV,Manual,2,Mahindra,Mahindra Scorpio,2010,₹ 6.50 Lakh,Third Party insurance,"1,20,000 Kms",12.05 kmpl,2179 CC,7,Gray,5 Speed,2 WD,Bangalore
0,Petrol,Hatchback,Automatic,1,Mini,Mini 3 DOOR,2016,₹ 36.75 Lakh,Comprehensive,"40,000 Kms",17.33 kmpl,1998 CC,4,White,7 Speed,2WD,Bangalore
0,Petrol,Hatchback,Manual,1,Tata,Tata Tiago,2019,₹ 6.10 Lakh,Comprehensive,"60,932 Kms",23.84 kmpl,1199 CC,5,Red,5 Speed,FWD,Bangalore
0,Petrol,SUV,Automatic,2,Kia,Kia Seltos,2020,₹ 16.75 Lakh,Comprehensive,"33,539 Kms",16.5 kmpl,1353 CC,5,White,7-Speed DCT,FWD,Bangalore
0,Petrol,Hatchback,Manual,2,Tata,Tata Tiago,2018,₹ 5.30 Lakh,Comprehensive,"66,837 Kms",23.84 kmpl,1199 CC,5,Brown,5 Speed,FWD,Bangalore
0,Diesel,Sedan,Automatic,1,Mercedes-Benz,Mercedes-Benz E-Class,2022,₹ 79.90 Lakh,Third Party,400 Kms,,2925 CC,5,White,9-Speed,,Bangalore
0,Petrol,Hatchback,Manual,2,Maruti,Maruti Alto,2008,₹ 2.50 Lakh,Third Party insurance,"60,000 Kms",19.7 kmpl,796 CC,5,Others,5 Speed,FWD,Bangalore
0,Petrol,Hatchback,Manual,1,Hyundai,Hyundai i20,2019,₹ 7.15 Lakh,Third Party insurance,"44,285 Kms",18.6 kmpl,1197 CC,5,Grey,5 Speed,FWD,Bangalore
0,Diesel,SUV,Automatic,2,Mercedes-Benz,Mercedes-Benz GL-Class,2014,₹ 35 Lakh,Third Party insurance,"1,00,000 Kms",11.3 kmpl,2987 CC,7,Others,7 Speed,AWD,Bangalore
0,Diesel,SUV,Automatic,1,Tata,Tata New Safari,2021,₹ 22.50 Lakh,Comprehensive,"25,000 Kms",14.08 kmpl,1956 CC,6,White,6-Speed,,Bangalore
0,Petrol,Hatchback,Manual,1,Hyundai,Hyundai Grand i10,2018,₹ 6.25 Lakh,Comprehensive,"36,735 Kms",18.9 kmpl,1197 CC,5,Blue,5 Speed,FWD,Bangalore
0,Diesel,SUV,Automatic,1,Audi,Audi Q7,2015,₹ 26.95 Lakh,Comprehensive,"79,000 Kms",12.07 kmpl,2967 CC,7,White,8 Speed Tiptronic,AWD,Bangalore
0,Diesel,SUV,Manual,2,Mahindra,Mahindra Scorpio,2010,₹ 6.50 Lakh,Third Party insurance,"1,20,000 Kms",12.05 kmpl,2179 CC,8,Gray,5 Speed,FWD,Bangalore
0,Petrol,Hatchback,Automatic,1,Renault,Renault KWID,2022,₹ 5.50 Lakh,Third Party insurance,"10,000 Kms",22 kmpl,999 CC,5,Others,5 Speed,FWD,Bangalore
0,Diesel,SUV,Manual,1,Tata,Tata Nexon,2018,₹ 8.25 Lakh,Comprehensive,"53,645 Kms",21.5 kmpl,1497 CC,5,White,6 Speed,FWD,Bangalore
0,Petrol,Hatchback,Manual,2,Hyundai,Hyundai Getz,2006,₹ 2.20 Lakh,Third Party insurance,"1,00,000 Kms",15.3 kmpl,1341 CC,5,Others,5 Speed,,Bangalore
0,Petrol,Hatchback,Automatic,1,Maruti,Maruti Celerio,2014,₹ 4.28 Lakh,Comprehensive,"53,982 Kms",26.68 kmpl,998 CC,5,Others,5-Speed,,Bangalore
0,Diesel,Sedan,Manual,1,Skoda,Skoda Rapid,2014,₹ 6.95 Lakh,Third Party insurance,"1,10,000 Kms",21.14 kmpl,1498 CC,5,Black,5 Speed,FWD,Bangalore
0,Petrol,SUV,Manual,2,Ford,Ford Ecosport,2019,₹ 9.30 Lakh,Third Party insurance,"37,741 Kms",15.9 kmpl,1496 CC,5,White,5 Speed,FWD,Bangalore
0,Petrol,Hatchback,Manual,1,Maruti,Maruti Alto 800,2021,₹ 4.55 Lakh,Comprehensive,"17,367 Kms",22.05 kmpl,796 CC,5,Silver,5 Speed,,Bangalore
