MAE,RMSE,R2
1154332028752926.0,9991625476308658.0,-3.4070817800849867e+19
277518.1054517396,803956.3448943355,0.7794153950886458
266474.2523708705,770586.794901175,0.7973468355586573
227210.92424242425,869710.6310018938,0.7418573154415118
171660.6360994709,663951.5552900642,0.8495531670639259
268349.7060518603,700248.7805105264,0.8326541344935802
